Swath_ID,Flight_Direction,Start_Lat,Start_Lon,End_Lat,End_Lon,Altitude_AGL_m
1,NORTH-TO-SOUTH,-32.88537,-32.953,-33.02063,-32.953,30.0
2,SOUTH-TO-NORTH,-33.02063,-32.953,-32.88537,-32.953,30.0
3,NORTH-TO-SOUTH,-32.88537,-32.953,-33.02063,-32.953,30.0
4,SOUTH-TO-NORTH,-33.02063,-32.953,-32.88537,-32.953,30.0
5,NORTH-TO-SOUTH,-32.88537,-32.95299,-33.02063,-32.95299,30.0
6,SOUTH-TO-NORTH,-33.02063,-32.95299,-32.88537,-32.95299,30.0
7,NORTH-TO-SOUTH,-32.88537,-32.95298,-33.02063,-32.95298,30.0
8,SOUTH-TO-NORTH,-33.02063,-32.95298,-32.88537,-32.95298,30.0
9,NORTH-TO-SOUTH,-32.88537,-32.95297,-33.02063,-32.95297,30.0
10,SOUTH-TO-NORTH,-33.02063,-32.95296,-32.88537,-32.95296,30.0
11,NORTH-TO-SOUTH,-32.88537,-32.95295,-33.02063,-32.95295,30.0
12,SOUTH-TO-NORTH,-33.02063,-32.95294,-32.88537,-32.95294,30.0
