Latitude,Longitude,Bayesian Score
-30.0,94.5,2e-06
-30.0537,94.4725,2e-06
-30.1074,94.445,3e-06
-30.1611,94.4174,3e-06
-30.2148,94.3899,4e-06
-30.2685,94.3624,5e-06
-30.3221,94.3349,6e-06
-30.3758,94.3074,8e-06
-30.4295,94.2799,1e-05
-30.4832,94.2523,1.2e-05
-30.5369,94.2248,1.4e-05
-30.5906,94.1973,1.7e-05
-30.6443,94.1698,2.1e-05
-30.698,94.1423,2.5e-05
-30.7517,94.1148,3.1e-05
-30.8054,94.0872,3.7e-05
-30.8591,94.0597,4.4e-05
-30.9128,94.0322,5.1e-05
-30.9664,94.0047,6e-05
-31.0201,93.9772,0.001337
-31.0738,93.9497,0.001551
-31.1275,93.9221,0.001786
-31.1812,93.8946,0.002048
-31.2349,93.8671,0.002374
-31.2886,93.8396,0.002751
-31.3423,93.8121,0.003127
-31.396,93.7846,0.003539
-31.4497,93.757,0.003975
-31.5034,93.7295,0.004495
-31.557,93.702,0.005063
-31.6107,93.6745,0.005658
-31.6644,93.647,0.006272
-31.7181,93.6195,0.006977
-31.7718,93.5919,0.007699
-31.8255,93.5644,0.008397
-31.8792,93.5369,0.009155
-31.9329,93.5094,0.00994
-31.9866,93.4819,0.010829
-32.0403,93.4544,0.01166
-32.094,93.4268,0.012645
-32.1477,93.3993,0.013451
-32.2013,93.3718,0.014358
-32.255,93.3443,0.015204
-32.3087,93.3168,0.015787
-32.3624,93.2893,0.016512
-32.4161,93.2617,0.017129
-32.4698,93.2342,0.017694
-32.5235,93.2067,0.018198
-32.5772,93.1792,0.01902
-32.6309,93.1517,0.019636
-32.6846,93.1242,0.020026
-32.7383,93.0966,0.020587
-32.7919,93.0691,0.02116
-32.8456,93.0416,0.021227
-32.8993,93.0141,0.021725
-32.953,92.9866,0.022052
-33.0067,92.9591,0.02176
-33.0604,92.9315,0.021377
-33.1141,92.904,0.021346
-33.1678,92.8765,0.021139
-33.2215,92.849,0.020677
-33.2752,92.8215,0.020139
-33.3289,92.794,0.019696
-33.3826,92.7664,0.019023
-33.4362,92.7389,0.01845
-33.4899,92.7114,0.017746
-33.5436,92.6839,0.017141
-33.5973,92.6564,0.016005
-33.651,92.6289,0.015398
-33.7047,92.6013,0.014627
-33.7584,92.5738,0.013541
-33.8121,92.5463,0.012757
-33.8658,92.5188,0.011915
-33.9195,92.4913,0.011034
-33.9732,92.4638,0.010129
-34.0268,92.4362,0.0093
-34.0805,92.4087,0.008348
-34.1342,92.3812,0.007527
-34.1879,92.3537,0.006855
-34.2416,92.3262,0.006246
-34.2953,92.2987,0.005667
-34.349,92.2711,0.005024
-34.4027,92.2436,0.004499
-34.4564,92.2161,0.004012
-34.5101,92.1886,0.003562
-34.5638,92.1611,0.003166
-34.6174,92.1336,0.002816
-34.6711,92.106,0.002482
-34.7248,92.0785,0.002178
-34.7785,92.051,0.001932
-34.8322,92.0235,0.001657
-34.8859,91.996,0.001415
-34.9396,91.9685,0.001209
-34.9933,91.9409,0.001029
-35.047,91.9134,0.000867
-35.1007,91.8859,0.000736
-35.1544,91.8584,0.000608
-35.2081,91.8309,0.000514
-35.2617,91.8034,0.000426
-35.3154,91.7758,0.000353
-35.3691,91.7483,0.000293
-35.4228,91.7208,0.000243
-35.4765,91.6933,0.000201
-35.5302,91.6658,0.000162
-35.5839,91.6383,0.000131
-35.6376,91.6107,0.000106
-35.6913,91.5832,8.6e-05
-35.745,91.5557,7.1e-05
-35.7987,91.5282,5.7e-05
-35.8523,91.5007,4.5e-05
-35.906,91.4732,3.6e-05
-35.9597,91.4456,2.9e-05
-36.0134,91.4181,2.3e-05
-36.0671,91.3906,1.8e-05
-36.1208,91.3631,1.4e-05
-36.1745,91.3356,1.1e-05
-36.2282,91.3081,8e-06
-36.2819,91.2805,7e-06
-36.3356,91.253,5e-06
-36.3893,91.2255,4e-06
-36.443,91.198,3e-06
-36.4966,91.1705,2e-06
-36.5503,91.143,2e-06
-36.604,91.1154,1e-06
-36.6577,91.0879,1e-06
-36.7114,91.0604,1e-06
-36.7651,91.0329,1e-06
-36.8188,91.0054,0.0
-36.8725,90.9779,0.0
-36.9262,90.9503,0.0
-36.9799,90.9228,0.0
-37.0336,90.8953,0.0
-37.0872,90.8678,0.0
-37.1409,90.8403,0.0
-37.1946,90.8128,0.0
-37.2483,90.7852,0.0
-37.302,90.7577,0.0
-37.3557,90.7302,0.0
-37.4094,90.7027,0.0
-37.4631,90.6752,0.0
-37.5168,90.6477,0.0
-37.5705,90.6201,0.0
-37.6242,90.5926,0.0
-37.6779,90.5651,0.0
-37.7315,90.5376,0.0
-37.7852,90.5101,0.0
-37.8389,90.4826,0.0
-37.8926,90.455,0.0
-37.9463,90.4275,0.0
-38.0,90.4,0.0
