Intercept_ID,Target_Latitude,Target_Longitude,Acoustic_Reflectivity_Score,Sensor_Confidence_Percentage,Classification_Tag
1,-32.99564,92.94348,0.769,79.5,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
2,-32.98832,92.9494,0.833,84.2,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
3,-32.99039,92.95402,0.82,93.1,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
4,-32.98616,92.95122,0.875,81.5,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
5,-32.98245,92.95821,0.9,90.7,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
6,-32.98688,92.94447,0.829,86.2,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
7,-32.98426,92.95541,0.819,83.5,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
8,-32.98261,92.94821,0.794,90.3,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
9,-32.98248,92.9568,0.933,79.9,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
10,-32.97844,92.96454,0.778,94.4,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
11,-32.98107,92.95631,0.877,83.4,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
12,-32.98391,92.96154,0.902,83.7,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
13,-32.96976,92.96389,0.823,96.6,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
14,-32.96969,92.9737,0.852,96.7,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
15,-32.96428,92.97326,0.836,83.1,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
16,-32.96359,92.97158,0.808,80.2,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
17,-32.96179,92.97895,0.935,94.8,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
18,-32.95878,92.98585,0.861,96.8,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
19,-32.9539,92.98698,0.762,83.8,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
20,-32.95825,92.98391,0.796,79.3,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
21,-32.9549,92.98858,0.802,94.9,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
22,-32.95116,92.99747,0.904,91.7,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
23,-32.94524,92.99138,0.854,94.6,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
24,-32.93954,93.00178,0.835,82.8,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
25,-32.94396,92.99811,0.895,94.7,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
26,-32.9403,92.99765,0.91,85.7,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
27,-32.92692,93.00023,0.774,87.1,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
28,-32.93232,93.00934,0.771,93.3,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
29,-32.93026,93.01405,0.909,79.9,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
30,-32.92858,93.01283,0.937,83.1,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
31,-32.92976,93.01836,0.914,81.3,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
32,-32.92365,93.01575,0.769,97.3,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
33,-32.9259,93.01377,0.925,78.1,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
34,-32.92107,93.01701,0.912,89.7,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
35,-32.91887,93.02255,0.931,84.3,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
36,-32.92154,93.01611,0.766,92.4,DEBRIS PROFILE: SCATTERED SHEET FRAGMENT
37,-32.91585,93.02524,0.912,86.9,CRITICAL TARGET: HEAVY METALLIC CORE ANOMALY
38,-32.91328,93.03008,0.845,95.3,STRUCTURAL TARGET: FRACTURED AIRFRAME SECTION
